飞行速度,图片,研发单位,乘员,简介,最大航程,发动机,生产单位,发动机数量,大类,类型,产国,退役时间,空重,翼展,最大飞行速度,名称,_id,首飞时间,关注度,旋翼直径,机高,服役时间,最大起飞重量,气动布局,机长
亚音速,http://images.huanqiu.com/sarons/2013/08/2676dff0a43e585abfe0f3ec1500bcbd.jpg,NULL,2人,"
F-94是美国第一种大量生产与服役的喷气拦截机，衍生自T-33教练机，由洛克希德马丁设计与制造。它也是20世纪50年代最知名的全天候截击机。
",2000千米,一台普-惠J48-P-5发动机,美国洛克希德公司,双发,飞行器,战斗机,美国,1959年2月,5760千克,12.93米,1040千米每小时,F-94“星火”战斗机,{'$oid': '5cc93093831b973d657f0f76'},1949年4月16日,NULL,NULL,4.55米,1950年5月,10980千克,平直翼,13.26米
亚音速,http://images.huanqiu.com/sarons/2013/08/1c0f12623478c4be0567c12b308b015b.jpg,NULL,1人,F-80流星战斗机（Shooting Star，原本军用编号为P-80）是美国第一种大量生产与服役的喷射战斗机，也是美国第一架水平飞行速度超过800公里／时（500英里／时）的量产飞机。同时，F-80也是美国喷射战斗机当中第一架有击落敌机纪录的机种。他的衍生机种包括了T-33教练机（ T-33A 即 TF-80C）曾经在许多国家服役，训练大量飞行员、以及在 T-33 基础上改进的F-94，是美国第一架全天候拦截机，亦曾在朝鲜战争中留下四次空战胜利纪录。日后衍生的 F-97 基于政治因素回改为 F-94C。,1328千米,一台阿里逊J33-A-3发动机,洛克希德公司,双发,飞行器,战斗机,美国,NULL,3819千克,11.81米,956千米每小时,F-80/TO/TV“流星”喷射战斗机,{'$oid': '5cc93093831b973d657f0f77'},1944年1月8日,NULL,NULL,3.43米,NULL,7646千克,平直翼,10.49米
超音速,http://images.huanqiu.com/sarons/2013/08/5d9f8301028cf60801be36929da9ed5d.jpg,NULL,1人,道格拉斯F4D“天光”（后更名为F6A）是美国道格拉斯飞机公司于上世纪50年代研制的一款舰载超音速战斗机。由于武器装备不足和发动机性能不佳，它们的职业生涯非常短暂。这是也是道格拉斯飞机公司生产的最后一款战斗机。,1920千米,一台普-惠J57-P-8发动机,美国道格拉斯飞机公司,单发,飞行器,战斗机,美国,NULL,7250千克,10.2米,1112千米每小时,F4D/F-6“天光”战斗机,{'$oid': '5cc93093831b973d657f0f78'},1951年1月23日,NULL,NULL,3.96米,1956年4月,11340千克,三角面,13.9米
亚音速,http://images.huanqiu.com/sarons/2013/08/8261a55970cd0bb59a8b5a9067ae57f8.jpg,NULL,1人,"
F-100“超佩刀”是美国原北美航空公司(已并入罗克韦尔国际飞机公司)研制的世界上第一种实用化的具有超音速平飞能力的喷气式战斗机，也是首种广泛利用钛合金制造的战机，主要作为战斗轰炸机使用。1953年9月开始装备部队。主要型别有：A、C、D、F等。各型共生产2350多架，1959年全部停产。F-100最初是作为接替F-86的高性能超音速战机而设计的，曾在越南战争中执行战斗轰炸任务，是美国空军（USAF）在越战中使用的主要机型之一。 使用者除美国外，F-100亦服役于法国 、土耳其、丹麦以及中国台湾地区。
",2415千米,一台普-惠J57-PW-39发动机,美国原北美航空公司(已并入罗克韦尔国际飞机公司),双发,飞行器,战斗机,美国,1988年,9525千克,11.81米,1390千米每小时,F-100“超佩刀” 战斗轰炸机,{'$oid': '5cc93094831b973d657f0f79'},1953年5月25日,NULL,NULL,4.96米,1954年9月27日,15800千克,三角面,15.09米
亚音速,http://images.huanqiu.com/sarons/2013/08/0241e40ac17e65f62623554a4814f3ad.jpg,NULL,1人,尽管命运注定格鲁曼 F11F-1/F-11A“虎”（Tiger）舰载单座战斗机在美国海军的服役生涯十分短暂，甚至从来没有机会对敌开火，但作为“蓝天使”飞行表演队的座机，它却赢得了一定的声誉，在 1950 年代末和整个1960 年代，它的飞行表演曾震撼了数百万人。,1130千米,一台莱特J65-W-18发动机,格鲁曼公司,双发,飞行器,战斗机,美国,NULL,6092千克,9.63米,1432千米每小时,"F11F/F-11'“虎""",{'$oid': '5cc93094831b973d657f0f7a'},1954年7月30日,NULL,NULL,4.05米,1957年2月,10052千克,后掠翼,13.7米
亚音速,http://images.huanqiu.com/sarons/2013/08/5868ffd13272948cfe05173d9e902dbd.jpg,NULL,1人,F-117A是美国洛克希德公司研制的隐身攻击机。是世界上第一种可正式作战的隐身战斗机。设计始于70年代未，1981年6月15日试飞成功，次年8月23日开始向美国空军交付，共向空军交付59架。F-117A服役后一直处于保密之中，直到1988年11月10日，空军才首次公布了该机的照片，1989年4月F-117A在内华达州的内利斯空军基地公开面世。F-117A自装备部队以来参加了入侵巴拿马、海湾战争、科索沃战争、阿富汗战争、伊拉克战争等多次实战行动，战果显著。2008年退出现役。,1055千米,两台通用电气F404-GE-F1D2发动机,美国洛克希德公司,单发,飞行器,战斗机,美国,2008年4月22日,13380千克,13.2米,1040千米每小时,F-117“夜鹰”,{'$oid': '5cc93094831b973d657f0f7b'},1981年6月18日,NULL,NULL,3.78米,1983年10月,23815千克,飞翼,20.08米
超音速,http://images.huanqiu.com/sarons/2013/08/d9fadb3c19004066108111d1f82b67aa.jpg,麦克唐纳·道格拉斯公司,1人,NULL,3335千米,两台通用电气F-404-GE-402发动机,NULL,双发,飞行器,战斗机,美国,NULL,13435千克,11.43米,1915千米每小时,F/A-18A-D“大黄蜂”,{'$oid': '5cc93094831b973d657f0f7c'},1974年6月9日（YF-17）,NULL,NULL,4.66米,1980年5月,23541千克,后掠翼,17.07米
超音速,http://images.huanqiu.com/sarons/2014/01/935caf69bcaf2347df832ff10557419c.jpg,格鲁曼公司,1人,"
格鲁曼公司原先的喷气式战斗机设计的坚固性的F9F“黑豹”发展为后掠翼的“美洲狮”奠定了基础，并持续生产了七年。格鲁曼公司在1950年首次提出发展后掠翼的“黑豹”，次年三月美国海军签署了生产三架原型机的合同。这种“新”飞机命名为XF9F-6，由“黑豹”的机身和尾部、大功率的J48-P-8发动机和带有35度后掠角的机翼组成。原型机在1951年9月完成首飞，之后生产了646架F9F-6、168架相近的F9F-7和60架F9F-6P照相侦察机。F9F-8采用了加长机身和更大的机翼，并改进了座舱。在生产的711架F9F-8中，有110架是F9F-8P照相侦察机。由格鲁曼公司生产的最后一批改型是拉伸型双座的F9F-8T高级教练机，1956年-1959年交付了399架。1962年“美洲狮”被重新命名为F/RF/TF-9，大量的“美洲狮”在一线部队、训练单位和预备役单位服役，直到1974年。
",1920千米,普-惠J48-P-8A发动机,格鲁曼公司,双发,飞行器,战斗机,美国,NULL,5382千克,10.54米,1035千米每小时,F9F-9“美洲狮”轰炸机,{'$oid': '5cc93094831b973d657f0f7d'},1951年9月20日,NULL,NULL,3.74米,1952年11月,8953千克,后掠翼,12.77米
超音速,http://images.huanqiu.com/sarons/2013/08/0b966925920590bb2cf8a94549ea7777.jpg,麦克唐纳公司,2人,"
自从20世纪70年代中期进入现役以来，F-15就成为世界上曾经最受人尊崇的制空战斗机，F-15是美国空军十余年前为了征寻F-4“鬼怪Ⅱ”的后继机而发布的F-X计划（试验战斗机计划）的最终成果。F-X吸取了越南空战的教训，要求新飞机具有高推重比、可以抛掉任何组件去装载需要携带的导弹。麦克唐纳-道格拉斯的F-15打败了来自仙童公司和北美-罗克韦尔公司的竞争设计。1972年月27日，原型机首飞。由专门制造的普-惠F00涡轮风扇发动机驱动，配备休斯APG-63雷达，“鹰”是令人注目的。
",1965千米,两台普-惠F100-Pwr-220发动机,麦克唐纳公司,双发,飞行器,战斗机,美国,NULL,12973千克,13.05米,2685千米每小时,F-15A-D“鹰”,{'$oid': '5cc93094831b973d657f0f7e'},1972年7月27日,NULL,NULL,5.63米,1974年11月,30844千克,后掠翼,19.43米
亚音速,http://images.huanqiu.com/sarons/2013/08/e544ba79a6c3be21e54acde4e423dd48.jpg,麦克唐纳公司,2人,"
麦克唐纳飞机公司的 F-101A “魔术师”远程战斗机，是由该公司较早的 XF-88 飞机发展来的。F-101 原先是做为美国战略空军 B-36 轰炸机护航的战斗机，后来 B-36 被 B-52 取代，美战略空军将该机的计划全部转交给战术空军，生产型 F-101A 也于 1957 年 5 月全部移交战术空军，F-101堪称当今最大和最有力的战斗机。
",2500千米,两台普-惠J57-PW-53发动机,麦克唐纳公司,双发,飞行器,战斗机,美国,NULL,12700千克,12.09米,1963千米每小时,F/RF-101E“魔术师”,{'$oid': '5cc93094831b973d657f0f7f'},1954年9月29日（F-101A）,NULL,NULL,5.49米,1957年,23133千克,后掠翼,20.55米
超音速,http://images.huanqiu.com/sarons/2013/08/e22655a492374f2059e052f39bf15a07.jpg,美国洛克希德·马丁公司，波音公司,1人,"
F22“猛禽”（英语：F-22 Raptor）战斗机是由美国洛克希德·马丁和波音联合研制的单座双发高隐身性第五代战斗机，也是世界上第一种进入服役的第五代战斗机。F-22于2000年代中期陆续进入美国空军服役，以取代上一代的主力机种F-15鹰式战斗机。洛克希德·马丁为主承包商，负责设计大部分机身、武器系统和F-22的最终组装。计划合作伙伴波音则提供机翼、后机身、航空电子综合系统和培训系统。2014年9月22日据美国五角大楼宣布，F22首次投入实战，参加对叙利亚ISIS的打击。
",3200千米,两台普-惠“黄蜂长”F119-PW-100,NULL,双发,飞行器,战斗机,美国,NULL,14365千克,13.56米,2570千米每小时,F-22“猛禽”战斗机,{'$oid': '5cc93094831b973d657f0f80'},1990年9月29日,NULL,NULL,5.08米,2005年12月,36288千克,后掠翼,18.9米
亚音速,http://images.huanqiu.com/sarons/2013/08/f328558ae0cc3ff05d56e6fa4966147e.jpg,NULL,1人,"
F-86D是北美公司向美国空军提供的本土防御全天候截击机，它没有配备枪械，发动机进气口上安装了突出的雷达整流罩。北美公司以标准的F-86A机体为基础，加宽了机身，并且加长了40英尺4英寸。为它的J47发动机配备了加力燃烧室，去掉了6挺0.5英寸机枪，代之以一个可收放的、能携带24枚2.75英寸无制导火箭弹的发射箱。最后，在前机身中装入航空电子设备，雷达天线罩中放置了APG-36搜索雷达。
",885千米,一台通用电气J47-GE-33发动机,NULL,单发,飞行器,战斗机,美国,1965年,6270千克,11.93米,1115千米每小时,F-86D/K/L “佩刀猛犬”,{'$oid': '5cc93095831b973d657f0f81'},1949年12月22日,NULL,NULL,4.94米,NULL,9197千克,后掠翼,12.31米
超音速,http://images.huanqiu.com/sarons/2013/08/34a809e12cf2302f5c78456071be3456.jpg,麦克唐纳公司,2人,NULL,3040千米,两台通用电气J79-GE-10发动机,麦克唐纳公司,双发,飞行器,战斗机,美国,1996年,13957千克,11.72米,2264千米每小时,F-4“鬼怪Ⅱ”,{'$oid': '5cc93095831b973d657f0f82'},1958年5月27日（F4H-1）,NULL,NULL,4.96米,1960年,25401千克,后掠翼,17.79米
亚音速,http://images.huanqiu.com/sarons/2013/08/76c7e85c6cc0fd3527a821e3fd39f931.jpg,NULL,4人,NULL,1120千米,一台大陆O-470-7发动机,北美航空，瑞安航空,单发,飞行器,战斗机,美国,NULL,882千克,10.19米,260千米每小时,L-17/U-18“纳维翁” 联络机/通用机,{'$oid': '5cc93095831b973d657f0f83'},1946年4月,NULL,NULL,2.65米,1948年,1338千克,平直翼,8.38米
亚音速,http://images.huanqiu.com/sarons/2013/08/dbfdb3cbfea4ac4350e680de99955938.jpg,北美航空公司,2人,NULL,3605千米,两台阿里逊V-1710-143发动机,NULL,双发,飞行器,战斗机,美国,1953年,7256千克,11.28米,742千米每小时,F-82“双野马”,{'$oid': '5cc93095831b973d657f0f84'},1945年4月15日,NULL,NULL,4.22米,1946年,11608千克,平直翼,12.93米
亚音速,NULL,北美航空公司,1人,NULL,3232千米,一台莱特J65-W-16A发动机,NULL,单发,飞行器,战斗机,美国,NULL,5992千克,11.91米,1088千米每小时,FJ/F-1“狂怒”,{'$oid': '5cc93095831b973d657f0f85'},1946年11月27日（XFJ-1）,NULL,NULL,3.99米,NULL,10750千克,平直翼,11.09米
亚音速,http://images.huanqiu.com/sarons/2013/08/fcf4011b7e8ea7b0c089c98efb7f8774.jpg,北美航空公司,1人,NULL,1060千米,通用电气J47-GE-13发动机,NULL,单发,飞行器,战斗机,美国,NULL,4578千克,11.32米,1093千米每小时,F/RF/86A-H “佩刀”,{'$oid': '5cc93095831b973d657f0f86'},1947年10月1日（XP-86）,NULL,NULL,4.47米,1949年,7359千克,后掠翼,11.44米
亚音速,http://images.huanqiu.com/sarons/2013/08/ba572438a577d1c596347f439e467efa.jpg,NULL,1人,"
美国海军F7U“弯刀”舰载机是美国海军舰载机史上最极端的一种战斗机设计。在它诞生的揭幕式上，自认为有一定心里准备的新闻界记者们见到它的“芳容”后大吃一惊，他们立刻给它起了“蝙蝠侠”、“大标枪”之类的绰号。这种外形不那么美的战斗机却在美国创造了四个第一：第一种投产的无平尾后掠翼战斗机；第一种实现超音速飞行的海军飞机；第一种可在高亚音速状态时投弹，载弹量超过2.2吨的飞机；第一种同时采用带加力燃烧室的发动机，动力自动控制系统，飞机自动稳定系统等新技术的喷气战机。
",1120千米,两台西屋电气J46-W-8A发动机,钱斯沃特公司,双发,飞行器,战斗机,美国,1959年,8284千克,12.09米,1120千米每小时,F7U“弯刀”,{'$oid': '5cc93095831b973d657f0f87'},1948年9月29日,NULL,NULL,4.36米,NULL,14353千克,后掠翼,13.13米
亚音速,http://images.huanqiu.com/sarons/2013/08/a562c6057a0225621d4aff8dbf96506f.jpg,麦克唐纳公司,1人,NULL,3220千米,两台西屋J34-WF-34发动机,麦克唐纳公司,双发,飞行器,战斗机,美国,NULL,5800千克,13.67米,982千米每小时,F2H/F-2“女妖”,{'$oid': '5cc93095831b973d657f0f88'},1947年1月11日,NULL,NULL,4.4米,1951年6月,10270千克,平直翼,14.48米
亚音速,http://images.huanqiu.com/sarons/2013/08/356e57791dda1d9a633d7ae316149ba3.jpg,麦克唐纳公司,1人,NULL,2200千米,阿里逊J7l-A-2发动机,麦克唐纳公司,双发,飞行器,战斗机,美国,1965年,10115千克,10.76米,1040千米每小时,F3H/F-3“恶魔”,{'$oid': '5cc93095831b973d657f0f89'},1951年8月7日,NULL,NULL,4.45米,1956年,15376千克,后掠翼,17.95米
亚音速,http://images.huanqiu.com/sarons/2013/08/3697f2fa0f7101eb458a2211bd4267f6.jpg,沃特公司,1人,"
F-6U，这种喷气式飞机的绰号是“海盗船”，在飞行中很难控制。为此，沃特公司为了改进它的操纵性，把它的垂直尾翼加大、并做了很多其他的修改，并使其成为第一种使用“素拉（solar）”A-103A加力燃烧室这种动力助推装置的海军飞机。尽管问题很多，1947年2月，海军还是订购了30架F6U-1，1949年3月，首架生产型飞机分配到VX-3发展中队。不过，人们即清晰地认识到“海盗船”不适合一线使用，它们全部被降格为地面试验用机。
",1880千米,一台西屋J34-WE-22发动机,NULL,双发,飞行器,战斗机,美国,1950年,3320千克,10米,959千米每小时,F6U“海盗船”,{'$oid': '5cc93096831b973d657f0f8a'},1946年10月2日,NULL,NULL,3.93米,NULL,5851千克,后掠翼,11.48米
超音速,http://images.huanqiu.com/sarons/2013/08/597202b4556d35f53124f00ddc88027f.jpg,NULL,1人,"
F-5E“虎”II式战斗机在20世纪70年代成为美国对其第三世界盟国进行军火倾销的主力机种，由于该机经历过实战考验并承袭有前一代F-5A/B“自由战士”战斗机维护方便等的特点，使其在问世后的10年内，被销售至全球21个国家和地区。并因此在国际军火交易中形成法国“幻影”III、前苏联米格-21以及F-5E三种机型鼎立的局面。
",3720千米,两台通用电气J85-GE-21B发动机,美国诺斯罗普公司,双发,飞行器,战斗机,美国,20世纪80年代末期,4350千克,8.53米,1700千米每小时,F-5E“虎II”,{'$oid': '5cc93096831b973d657f0f8b'},1972年8月11日,NULL,NULL,4.08米,NULL,11187千克,后掠翼,14.45米
亚音速,http://images.huanqiu.com/sarons/2013/08/ffa86168df1c814c501c8d001fe2b44a.jpg,美国共和公司,1人,NULL,2605千米,莱特J65-W-3发动机,NULL,双发,飞行器,战斗机,美国,1972年,6189千克,10.24米,1118千米每小时,F/RF-84F“雷电”,{'$oid': '5cc93096831b973d657f0f8c'},1950年6月3日,NULL,NULL,4.39米,1954年5月12日,12700千克,后掠翼,13.23米
